event_id,matchup,home_team,away_team,venue,address,state,date,start_Time,min_Price,max_Price
25,Dallas Mavericks vs. Detroit Pistons,Dallas Mavericks,Detroit Pistons,American Airlines Center,2500 Victory Avenue,TX,2021-04-21,19:30:00,18,2500
26,Dallas Mavericks vs. Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,American Airlines Center,2500 Victory Avenue,TX,2021-04-24,19:30:00,50,3200
27,Indiana Pacers vs. Washington Wizards,Indiana Pacers,Washington Wizards,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-08,19:00:00,15,291
28,Toronto Raptors vs. Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Amalie Arena,401 Channelside Dr,FL,2021-04-27,19:30:00,56.25,316.25
29,Milwaukee Bucks vs. Houston Rockets,Milwaukee Bucks,Houston Rockets,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-07,19:00:00,46,600
30,Miami Heat vs. Dallas Mavericks,Miami Heat,Dallas Mavericks,AmericanAirlines Arena,601 Biscayne Blvd,FL,2021-05-04,20:00:00,20,320
31,Detroit Pistons vs. Dallas Mavericks,Detroit Pistons,Dallas Mavericks,Little Caesars Arena,2645 Woodward,MI,2021-04-29,19:00:00,49,2888
32,Washington Wizards vs. Golden State Warriors,Washington Wizards,Golden State Warriors,Capital One Arena,601 F Street NW,DC,2021-04-21,19:00:00,66,546
33,Washington Wizards vs. San Antonio Spurs,Washington Wizards,San Antonio Spurs,Capital One Arena,601 F Street NW,DC,2021-04-26,19:00:00,16,500
34,Washington Wizards vs. Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Capital One Arena,601 F Street NW,DC,2021-04-28,19:00:00,108,863
35,Washington Wizards vs. Charlotte Hornets,Washington Wizards,Charlotte Hornets,Capital One Arena,601 F Street NW,DC,2021-05-16, ,17,500
36,Detroit Pistons vs. Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Little Caesars Arena,2645 Woodward,MI,2021-04-26,19:00:00,25,1662
37,Detroit Pistons vs. Miami Heat,Detroit Pistons,Miami Heat,Little Caesars Arena,2645 Woodward,MI,2021-05-16,19:00:00,34,2085
38,Dallas Mavericks vs. Toronto Raptors,Dallas Mavericks,Toronto Raptors,American Airlines Center,2500 Victory Avenue,TX,2021-05-14,20:00:00,22,2600
